show_id,type,title,release_year,rating,listed_in
s1,Movie,Dick Johnson Is Dead,2020,PG-13,Documentaries
s2,TV Show,Blood & Water,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries"
s3,TV Show,Ganglands,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s4,TV Show,Jailbirds New Orleans,2021,TV-MA,"Docuseries, Reality TV"
s5,TV Show,Kota Factory,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies"
s6,TV Show,Midnight Mass,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries"
s7,Movie,My Little Pony: A New Generation,2021,PG,Children & Family Movies
s8,Movie,Sankofa,1993,TV-MA,"Dramas, Independent Movies, International Movies"
s9,TV Show,The Great British Baking Show,2021,TV-14,"British TV Shows, Reality TV"
s10,Movie,The Starling,2021,PG-13,"Comedies, Dramas"
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows"
s12,TV Show,Bangkok Breaking,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s13,Movie,Je Suis Karl,2021,TV-MA,"Dramas, International Movies"
s14,Movie,Confessions of an Invisible Girl,2021,TV-PG,"Children & Family Movies, Comedies"
s15,TV Show,Crime Stories: India Detectives,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries"
s16,TV Show,Dear White People,2021,TV-MA,"TV Comedies, TV Dramas"
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,TV-MA,"Documentaries, International Movies"
s18,TV Show,Falsa identidad,2020,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
s19,Movie,Intrusion,2021,TV-14,Thrillers
s20,TV Show,Jaguar,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows"
s22,TV Show,Resurrection: Ertugrul,2018,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas"
s23,Movie,Avvai Shanmughi,1996,TV-PG,"Comedies, International Movies"
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,TV-Y,Children & Family Movies
s25,Movie,Jeans,1998,TV-14,"Comedies, International Movies, Romantic Movies"
s26,TV Show,Love on the Spectrum,2021,TV-14,"Docuseries, International TV Shows, Reality TV"
s27,Movie,Minsara Kanavu,1997,TV-PG,"Comedies, International Movies, Music & Musicals"
s28,Movie,Grown Ups,2010,PG-13,Comedies
s29,Movie,Dark Skies,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy"
s30,Movie,Paranoia,2013,PG-13,Thrillers
s31,Movie,Ankahi Kahaniya,2021,TV-14,"Dramas, Independent Movies, International Movies"
s32,TV Show,Chicago Party Aunt,2021,TV-MA,TV Comedies
s33,TV Show,Sex Education,2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies"
s34,TV Show,Squid Game,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers"
s35,TV Show,Tayo and Little Wizards,2020,TV-Y7,Kids' TV
s36,Movie,The Father Who Moves Mountains,2021,TV-MA,"Dramas, International Movies, Thrillers"
s37,Movie,The Stronghold,2021,TV-MA,"Action & Adventure, Dramas, International Movies"
s38,TV Show,Angry Birds,2018,TV-Y7,"Kids' TV, TV Comedies"
s39,Movie,Birth of the Dragon,2017,PG-13,"Action & Adventure, Dramas"
s40,TV Show,Chhota Bheem,2021,TV-Y7,Kids' TV
s41,TV Show,He-Man and the Masters of the Universe,2021,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy"
s42,Movie,Jaws,1975,PG,"Action & Adventure, Classic Movies, Dramas"
s43,Movie,Jaws 2,1978,PG,"Dramas, Horror Movies, Thrillers"
s44,Movie,Jaws 3,1983,PG,"Action & Adventure, Horror Movies, Thrillers"
s45,Movie,Jaws: The Revenge,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers"
s46,Movie,My Heroes Were Cowboys,2021,PG,Documentaries
s47,Movie,Safe House,2012,R,Action & Adventure
s48,TV Show,The Smart Money Woman,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies"
s49,Movie,Training Day,2001,R,"Dramas, Thrillers"
s50,TV Show,Castle and Castle,2021,TV-MA,"International TV Shows, TV Dramas"
s51,TV Show,Dharmakshetra,2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,TV-14,"Action & Adventure, Anime Features, International Movies"
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,TV-14,"Action & Adventure, Anime Features, International Movies"
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,TV-PG,"Action & Adventure, Anime Features, International Movies"
s55,Movie,InuYasha the Movie: Affections Touching Across Time,2001,TV-PG,"Action & Adventure, Anime Features, International Movies"
s56,TV Show,Nailed It,2021,TV-PG,Reality TV
s57,Movie,Naruto Shippuden the Movie: Blood Prison,2011,TV-14,"Action & Adventure, Anime Features, International Movies"
s58,Movie,Naruto Shippûden the Movie: Bonds,2008,TV-PG,"Action & Adventure, Anime Features, International Movies"
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,2009,TV-PG,"Action & Adventure, Anime Features, International Movies"
s60,Movie,Naruto Shippuden: The Movie,2007,TV-PG,"Action & Adventure, Anime Features, International Movies"
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,TV-14,"Action & Adventure, Anime Features, International Movies"
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,TV-PG,"Action & Adventure, Anime Features, International Movies"
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,TV-PG,"Action & Adventure, Anime Features, International Movies"
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,TV-PG,"Action & Adventure, Anime Features, International Movies"
s65,Movie,Nightbooks,2021,TV-PG,Children & Family Movies
s66,TV Show,Numberblocks,2021,TV-Y,Kids' TV
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,TV-G,"Docuseries, International TV Shows"
s68,TV Show,Saved by the Bell,1994,TV-PG,"Kids' TV, TV Comedies"
s69,Movie,Schumacher,2021,TV-14,"Documentaries, International Movies, Sports Movies"
s70,TV Show,Stories by Rabindranath Tagore,2015,TV-PG,"International TV Shows, TV Dramas"
s71,TV Show,Too Hot To Handle: Latino,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows"
s72,Movie,A StoryBots Space Adventure,2021,TV-Y,Children & Family Movies
s73,TV Show,Jack Whitehall: Travels with My Father,2021,TV-MA,"British TV Shows, Docuseries, International TV Shows"
s74,Movie,King of Boys,2018,TV-MA,"Dramas, International Movies"
s75,TV Show,The World's Most Amazing Vacation Rentals,2021,TV-PG,Reality TV
s76,Movie,You vs. Wild: Out Cold,2021,TV-G,Children & Family Movies
s77,TV Show,Yowamushi Pedal,2013,TV-14,"Anime Series, International TV Shows"
s78,Movie,Little Singham - Black Shadow,2021,TV-Y7,"Children & Family Movies, Comedies"
s79,Movie,Tughlaq Durbar,2020,TV-14,"Comedies, Dramas, International Movies"
s80,Movie,Tughlaq Durbar (Telugu),2021,TV-14,"Comedies, Dramas, International Movies"
s81,Movie,Firedrake the Silver Dragon,2021,TV-Y7,Children & Family Movies
s82,Movie,Kate,2021,R,Action & Adventure
s83,TV Show,Lucifer,2021,TV-14,"Crime TV Shows, TV Comedies, TV Dramas"
s84,TV Show,Metal Shop Masters,2021,TV-MA,Reality TV
s85,Movie,Omo Ghetto: the Saga,2020,TV-MA,"Action & Adventure, Comedies, Dramas"
s86,TV Show,Pokémon Master Journeys: The Series,2021,TV-Y7,"Anime Series, Kids' TV"
s87,Movie,Prey,2021,TV-MA,"International Movies, Thrillers"
s88,TV Show,Titipo Titipo,2019,TV-Y,"Kids' TV, Korean TV Shows"
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,"Documentaries, Sports Movies"
s90,TV Show,Mighty Raju,2017,TV-Y7,Kids' TV
s91,Movie,Paradise Hills,2019,TV-MA,"Sci-Fi & Fantasy, Thrillers"
s92,Movie,The Women and the Murderer,2021,TV-14,"Documentaries, International Movies"
s93,TV Show,Into the Night,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries"
s94,Movie,JJ+E,2021,TV-MA,"Dramas, International Movies, Romantic Movies"
s95,Movie,Show Dogs,2018,PG,"Children & Family Movies, Comedies"
s96,TV Show,The Circle,2021,TV-MA,Reality TV
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,TV-MA,"Documentaries, Music & Musicals"
s98,TV Show,Kid Cosmic,2021,TV-Y7,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy"
s99,TV Show,Octonauts: Above & Beyond,2021,TV-Y,"British TV Shows, Kids' TV"
s100,TV Show,On the Verge,2021,TV-MA,"TV Comedies, TV Dramas"
s101,TV Show,Tobot Galaxy Detectives,2019,TV-Y7,Kids' TV
s102,Movie,Untold: Breaking Point,2021,TV-MA,"Documentaries, Sports Movies"
s103,TV Show,Countdown: Inspiration4 Mission to Space,2021,TV-14,"Docuseries, Science & Nature TV"
s104,Movie,Shadow Parties,2020,TV-MA,"Dramas, International Movies, Thrillers"
s105,TV Show,Tayo the Little Bus,2016,TV-Y,"Kids' TV, Korean TV Shows"
s106,Movie,Angamaly Diaries,2017,TV-14,"Action & Adventure, Comedies, Dramas"
s107,TV Show,Bunk'd,2021,TV-G,"Kids' TV, TV Comedies"
s108,Movie,A Champion Heart,2018,G,"Children & Family Movies, Dramas"
s109,TV Show,Dive Club,2021,TV-G,"Kids' TV, TV Dramas, Teen TV Shows"
s110,TV Show,La casa de papel,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s111,TV Show,Money Heist: From Tokyo to Berlin,2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows"
s112,TV Show,Sharkdog,2021,TV-Y,Kids' TV
s113,Movie,Worth,2021,PG-13,Dramas
s114,Movie,Afterlife of the Party,2021,TV-PG,"Comedies, Romantic Movies"
s115,Movie,Anjaam,1994,TV-14,"Dramas, International Movies, Thrillers"
s116,Movie,Bright Star,2009,PG,"Dramas, Romantic Movies"
s117,Movie,Dhanak,2015,TV-PG,"Comedies, Dramas, Independent Movies"
s118,Movie,Final Account,2021,PG-13,Documentaries
s119,Movie,Gurgaon,2017,TV-14,"Dramas, International Movies, Thrillers"
s120,Movie,Here and There,2020,TV-MA,"Dramas, International Movies, Romantic Movies"
s121,TV Show,Heroes of Goo Jit Zu,2021,TV-Y7,"Kids' TV, TV Comedies"
s122,TV Show,Hotel Del Luna,2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies"
s123,Movie,In the Cut,2003,R,Thrillers
s124,TV Show,Luv Kushh,2012,TV-Y7,Kids' TV
s125,TV Show,Pororo - The Little Penguin,2013,TV-Y7,"Kids' TV, Korean TV Shows"
s126,TV Show,Q-Force,2021,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies"
s127,Movie,Shikara,2020,TV-14,"Dramas, International Movies, Romantic Movies"
s128,Movie,A Cinderella Story,2004,PG,"Children & Family Movies, Comedies"
s129,Movie,Agatha Christie's Crooked House,2017,PG-13,"Dramas, International Movies, Thrillers"
s130,Movie,An Unfinished Life,2005,PG-13,Dramas
s131,Movie,Barbie Big City Big Dreams,2021,TV-Y,"Children & Family Movies, Music & Musicals"
s132,Movie,Blade Runner: The Final Cut,1982,R,"Action & Adventure, Classic Movies, Cult Movies"
s133,TV Show,Brave Animated Series,2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies"
s134,Movie,Chappie,2015,R,"Action & Adventure, Sci-Fi & Fantasy"
s135,Movie,Clear and Present Danger,1994,PG-13,"Action & Adventure, Dramas"
s136,Movie,Cliffhanger,1993,R,Action & Adventure
s137,Movie,Cold Mountain,2003,R,"Dramas, Romantic Movies"
s138,Movie,Crocodile Dundee in Los Angeles,2001,PG,"Action & Adventure, Comedies"
s139,Movie,Dear John,2010,PG-13,"Dramas, Romantic Movies"
s140,Movie,Do the Right Thing,1989,R,"Classic Movies, Comedies, Dramas"
s141,Movie,"El patrón, radiografía de un crimen",2014,TV-MA,"Dramas, International Movies, Thrillers"
s142,Movie,Extraction,2015,R,Action & Adventure
s143,Movie,Freedom Writers,2007,PG-13,Dramas
s144,Movie,Green Lantern,2011,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
s145,Movie,House Party,1990,R,"Comedies, Cult Movies"
s146,Movie,House Party 2,1991,R,"Comedies, Cult Movies, Music & Musicals"
s147,Movie,House Party 3,1994,R,"Comedies, Music & Musicals"
s148,TV Show,How to Be a Cowboy,2021,TV-PG,Reality TV
s149,TV Show,HQ Barbers,2020,TV-14,TV Shows
s150,Movie,I Got the Hook Up,1998,R,"Action & Adventure, Comedies"
s151,Movie,In Too Deep,1999,R,Thrillers
s152,Movie,Initial D,2005,TV-14,"Action & Adventure, International Movies"
s153,Movie,Janoskians: Untold and Untrue,2016,TV-MA,Comedies
s154,TV Show,Kid-E-Cats,2016,TV-Y,Kids' TV
s155,TV Show,Kuroko's Basketball,2015,TV-MA,"Anime Series, International TV Shows, Teen TV Shows"
s156,Movie,Labyrinth,1986,PG,"Action & Adventure, Children & Family Movies, Cult Movies"
s157,Movie,Letters to Juliet,2010,PG,"Comedies, Dramas, Romantic Movies"
s158,Movie,Level 16,2018,TV-14,"Sci-Fi & Fantasy, Thrillers"
s159,Movie,Love Don't Cost a Thing,2003,PG-13,"Comedies, Romantic Movies"
s160,Movie,Love in a Puff,2010,TV-MA,"Comedies, Dramas, International Movies"
s161,TV Show,Major Dad,1992,TV-PG,TV Comedies
s162,Movie,Mars Attacks!,1996,PG-13,"Comedies, Cult Movies, Sci-Fi & Fantasy"
s163,Movie,Marshall,2017,PG-13,Dramas
s164,Movie,My Boss's Daughter,2003,R,"Comedies, Romantic Movies"
s165,Movie,Mystery Men,1999,PG-13,"Action & Adventure, Comedies"
s166,TV Show,Oldsters,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s167,Movie,Once Upon a Time in America,1984,R,"Classic Movies, Dramas"
s168,Movie,Open Season 2,2008,PG,"Children & Family Movies, Comedies"
s169,Movie,Osmosis Jones,2001,PG,"Action & Adventure, Children & Family Movies, Comedies"
s170,Movie,Poseidon,2006,PG-13,"Action & Adventure, Dramas"
s171,Movie,Rhyme & Reason,1997,R,"Documentaries, Music & Musicals"
s172,Movie,Same Kind of Different as Me,2017,PG-13,"Dramas, Faith & Spirituality"
s173,Movie,School of Rock,2003,PG-13,"Comedies, Music & Musicals"
s174,Movie,Snervous Tyler Oakley,2015,PG-13,"Documentaries, LGBTQ Movies"
s175,Movie,Tears of the Sun,2003,R,"Action & Adventure, Dramas"
s176,Movie,The Blue Lagoon,1980,R,"Dramas, Romantic Movies"
s177,Movie,The Golden Child,1986,PG-13,"Action & Adventure, Comedies"
s178,Movie,The Guns of Navarone,1961,TV-14,"Action & Adventure, Classic Movies"
s179,Movie,The Interview,2014,R,"Action & Adventure, Comedies"
s180,Movie,The Nutty Professor,1996,PG-13,"Comedies, Romantic Movies"
s181,Movie,The Nutty Professor II: The Klumps,2000,PG-13,"Comedies, Romantic Movies"
s182,TV Show,Turning Point: 9/11 and the War on Terror,2021,TV-14,Docuseries
s183,Movie,Welcome Home Roscoe Jenkins,2008,PG-13,Comedies
s184,Movie,In the Line of Fire,1993,R,"Action & Adventure, Classic Movies"
s185,TV Show,Sparking Joy,2021,TV-PG,Reality TV
s186,Movie,Untold: Crime & Penalties,2021,TV-MA,"Documentaries, Sports Movies"
s187,TV Show,Hometown Cha-Cha-Cha,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies"
s188,TV Show,The Ingenuity of the Househusband,2021,TV-G,"International TV Shows, TV Comedies"
s189,Movie,2 Alone in Paris,2008,TV-MA,"Comedies, International Movies"
s190,TV Show,Bread Barbershop,2020,TV-Y,"Kids' TV, TV Comedies"
s191,Movie,Thimmarusu,2021,TV-14,"Dramas, International Movies"
s192,Movie,Wind River,2017,R,"Dramas, Independent Movies"
s193,Movie,C Kkompany,2008,TV-14,"Action & Adventure, Comedies, International Movies"
s194,TV Show,D.P.,2021,TV-MA,"International TV Shows, TV Dramas"
s195,TV Show,Deadly Sins,2002,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s196,Movie,EMI: Liya Hai To Chukana Padega,2008,TV-14,"Comedies, Dramas, International Movies"
s197,Movie,He's All That,2021,TV-14,"Comedies, Romantic Movies"
s198,TV Show,I Heart Arlo,2021,TV-Y7,"Kids' TV, TV Comedies"
s199,TV Show,King of Boys: The Return of the King,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas"
s200,Movie,Koi Aap Sa,2006,TV-14,"Comedies, Dramas, International Movies"
s201,Movie,Krishna Cottage,2004,TV-14,"Action & Adventure, Horror Movies, International Movies"
s202,Movie,Kucch To Hai,2003,TV-14,"Dramas, International Movies, Thrillers"
s203,Movie,Kyaa Kool Hai Hum,2005,TV-MA,"Comedies, International Movies, Music & Musicals"
s204,Movie,Kyaa Kool Hain Hum 3,2016,TV-MA,"Comedies, International Movies"
s205,Movie,Kyaa Super Kool Hain Hum,2012,TV-MA,"Comedies, International Movies"
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,2001,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy"
s207,Movie,"LSD: Love, Sex Aur Dhokha",2010,TV-MA,"Dramas, Independent Movies, International Movies"
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,2008,TV-14,"Action & Adventure, International Movies, Music & Musicals"
s209,Movie,Once Upon a Time in Mumbaai,2010,TV-14,"Dramas, International Movies, Music & Musicals"
s210,Movie,Once Upon a Time in Mumbai Dobaara!,2013,TV-14,"Dramas, International Movies, Music & Musicals"
s211,Movie,Ragini MMS,2011,TV-MA,"Horror Movies, International Movies"
s212,Movie,Ragini MMS 2,2014,TV-MA,"Horror Movies, International Movies"
