"id","name","base_experience","height","weight","type 1","type 2","ability 1","ability 2","ability 3","move1","move2","move3","move4","hp","attack","defence","special attack","special defence","speed"
1,"bulbasaur",64,7,69,"grass","poison","overgrow"," chlorophyll",NA,"razor-wind"," swords-dance"," cut"," bind",45,49,49,65,65,45
2,"ivysaur",142,10,130,"grass","poison","overgrow"," chlorophyll",NA,"swords-dance"," cut"," bind"," vine-whip",60,62,63,80,80,60
3,"venusaur",236,20,1000,"grass","poison","overgrow"," chlorophyll",NA,"swords-dance"," cut"," bind"," vine-whip",80,82,83,100,100,80
4,"charmander",62,6,85,"fire",NA,"blaze"," solar-power",NA,"mega-punch"," fire-punch"," thunder-punch"," scratch",39,52,43,60,50,65
5,"charmeleon",142,11,190,"fire",NA,"blaze"," solar-power",NA,"mega-punch"," fire-punch"," thunder-punch"," scratch",58,64,58,80,65,80
6,"charizard",240,17,905,"fire","flying","blaze"," solar-power",NA,"mega-punch"," fire-punch"," thunder-punch"," scratch",78,84,78,109,85,100
7,"squirtle",63,5,90,"water",NA,"torrent"," rain-dish",NA,"mega-punch"," ice-punch"," mega-kick"," headbutt",44,48,65,50,64,43
8,"wartortle",142,10,225,"water",NA,"torrent"," rain-dish",NA,"mega-punch"," ice-punch"," mega-kick"," headbutt",59,63,80,65,80,58
9,"blastoise",239,16,855,"water",NA,"torrent"," rain-dish",NA,"mega-punch"," ice-punch"," mega-kick"," headbutt",79,83,100,85,105,78
10,"caterpie",39,3,29,"bug",NA,"shield-dust"," run-away",NA,"tackle"," string-shot"," snore"," bug-bite",45,30,35,20,20,45
11,"metapod",72,7,99,"bug",NA,"shed-skin",NA,NA,"string-shot"," harden"," iron-defense"," bug-bite",50,20,55,25,25,30
12,"butterfree",178,11,320,"bug","flying","compound-eyes"," tinted-lens",NA,"razor-wind"," gust"," whirlwind"," headbutt",60,45,50,90,80,70
13,"weedle",39,3,32,"bug","poison","shield-dust"," run-away",NA,"poison-sting"," string-shot"," bug-bite"," electroweb",40,35,30,20,20,50
14,"kakuna",72,6,100,"bug","poison","shed-skin",NA,NA,"string-shot"," harden"," iron-defense"," bug-bite",45,25,50,25,25,35
15,"beedrill",178,10,295,"bug","poison","swarm"," sniper",NA,"swords-dance"," cut"," headbutt"," fury-attack",65,90,40,45,80,75
16,"pidgey",50,3,18,"normal","flying","keen-eye"," tangled-feet"," big-pecks","razor-wind"," gust"," wing-attack"," whirlwind",40,45,40,35,35,56
17,"pidgeotto",122,11,300,"normal","flying","keen-eye"," tangled-feet"," big-pecks","razor-wind"," gust"," wing-attack"," whirlwind",63,60,55,50,50,71
18,"pidgeot",216,15,395,"normal","flying","keen-eye"," tangled-feet"," big-pecks","razor-wind"," gust"," wing-attack"," whirlwind",83,80,75,70,70,101
19,"rattata",51,3,35,"normal",NA,"run-away"," guts"," hustle","cut"," headbutt"," tackle"," body-slam",30,56,35,25,35,72
20,"raticate",145,7,185,"normal",NA,"run-away"," guts"," hustle","swords-dance"," cut"," headbutt"," tackle",55,81,60,50,70,97
21,"spearow",52,3,20,"normal","flying","keen-eye"," sniper",NA,"razor-wind"," wing-attack"," whirlwind"," fly",40,60,30,31,31,70
22,"fearow",155,12,380,"normal","flying","keen-eye"," sniper",NA,"razor-wind"," wing-attack"," whirlwind"," fly",65,90,65,61,61,100
23,"ekans",58,20,69,"poison",NA,"intimidate"," shed-skin"," unnerve","bind"," slam"," headbutt"," body-slam",35,60,44,40,54,55
24,"arbok",157,35,650,"poison",NA,"intimidate"," shed-skin"," unnerve","bind"," slam"," headbutt"," body-slam",60,95,69,65,79,80
25,"pikachu",112,4,60,"electric",NA,"static"," lightning-rod",NA,"mega-punch"," pay-day"," thunder-punch"," slam",35,55,40,50,50,90
26,"raichu",218,8,300,"electric",NA,"static"," lightning-rod",NA,"mega-punch"," pay-day"," thunder-punch"," slam",60,90,55,90,80,110
27,"sandshrew",60,6,120,"ground",NA,"sand-veil"," sand-rush",NA,"scratch"," swords-dance"," cut"," sand-attack",50,75,85,20,30,40
28,"sandslash",158,10,295,"ground",NA,"sand-veil"," sand-rush",NA,"scratch"," swords-dance"," cut"," sand-attack",75,100,110,45,55,65
29,"nidoran-f",55,4,70,"poison",NA,"poison-point"," rivalry"," hustle","scratch"," cut"," double-kick"," headbutt",55,47,52,40,40,41
30,"nidorina",128,8,200,"poison",NA,"poison-point"," rivalry"," hustle","scratch"," cut"," double-kick"," headbutt",70,62,67,55,55,56
31,"nidoqueen",227,13,600,"poison","ground","poison-point"," rivalry"," sheer-force","mega-punch"," pay-day"," fire-punch"," ice-punch",90,92,87,75,85,76
32,"nidoran-m",55,5,90,"poison",NA,"poison-point"," rivalry"," hustle","cut"," double-kick"," headbutt"," horn-attack",46,57,40,40,40,50
33,"nidorino",128,9,195,"poison",NA,"poison-point"," rivalry"," hustle","cut"," double-kick"," headbutt"," horn-attack",61,72,57,55,55,65
34,"nidoking",227,14,620,"poison","ground","poison-point"," rivalry"," sheer-force","mega-punch"," pay-day"," fire-punch"," ice-punch",81,102,77,85,75,85
35,"clefairy",113,6,75,"fairy",NA,"cute-charm"," magic-guard"," friend-guard","pound"," double-slap"," mega-punch"," fire-punch",70,45,48,60,65,35
36,"clefable",217,13,400,"fairy",NA,"cute-charm"," magic-guard"," unaware","pound"," double-slap"," mega-punch"," fire-punch",95,70,73,95,90,60
37,"vulpix",60,6,99,"fire",NA,"flash-fire"," drought",NA,"headbutt"," tackle"," body-slam"," take-down",38,41,40,50,65,65
38,"ninetales",177,11,199,"fire",NA,"flash-fire"," drought",NA,"headbutt"," tackle"," body-slam"," take-down",73,76,75,81,100,100
39,"jigglypuff",95,5,55,"normal","fairy","cute-charm"," competitive"," friend-guard","pound"," double-slap"," mega-punch"," fire-punch",115,45,20,45,25,20
40,"wigglytuff",196,10,120,"normal","fairy","cute-charm"," competitive"," frisk","pound"," double-slap"," mega-punch"," fire-punch",140,70,45,85,50,45
41,"zubat",49,8,75,"poison","flying","inner-focus"," infiltrator",NA,"razor-wind"," gust"," wing-attack"," whirlwind",40,45,35,30,40,55
42,"golbat",159,16,550,"poison","flying","inner-focus"," infiltrator",NA,"razor-wind"," gust"," wing-attack"," whirlwind",75,80,70,65,75,90
43,"oddish",64,5,54,"grass","poison","chlorophyll"," run-away",NA,"swords-dance"," cut"," headbutt"," take-down",45,50,55,75,65,30
44,"gloom",138,8,86,"grass","poison","chlorophyll"," stench",NA,"swords-dance"," cut"," headbutt"," take-down",60,65,70,85,75,40
45,"vileplume",221,12,186,"grass","poison","chlorophyll"," effect-spore",NA,"swords-dance"," cut"," headbutt"," body-slam",75,80,85,110,90,50
46,"paras",57,3,54,"bug","grass","effect-spore"," dry-skin"," damp","scratch"," swords-dance"," cut"," headbutt",35,70,55,45,55,25
47,"parasect",142,10,295,"bug","grass","effect-spore"," dry-skin"," damp","scratch"," swords-dance"," cut"," headbutt",60,95,80,60,80,30
48,"venonat",61,10,300,"bug","poison","compound-eyes"," tinted-lens"," run-away","headbutt"," tackle"," take-down"," double-edge",60,55,50,40,55,45
49,"venomoth",158,15,125,"bug","poison","shield-dust"," tinted-lens"," wonder-skin","razor-wind"," gust"," whirlwind"," headbutt",70,65,60,90,75,90
50,"diglett",53,2,8,"ground",NA,"sand-veil"," arena-trap"," sand-force","scratch"," swords-dance"," cut"," sand-attack",10,55,25,35,45,95
51,"dugtrio",149,7,333,"ground",NA,"sand-veil"," arena-trap"," sand-force","scratch"," swords-dance"," cut"," sand-attack",35,100,50,50,70,120
52,"meowth",58,4,42,"normal",NA,"pickup"," technician"," unnerve","pay-day"," scratch"," cut"," headbutt",40,45,35,40,40,90
53,"persian",154,10,320,"normal",NA,"limber"," technician"," unnerve","pay-day"," scratch"," cut"," headbutt",65,70,60,65,65,115
54,"psyduck",64,8,196,"water",NA,"damp"," cloud-nine"," swift-swim","mega-punch"," pay-day"," ice-punch"," scratch",50,52,48,65,50,55
55,"golduck",175,17,766,"water",NA,"damp"," cloud-nine"," swift-swim","mega-punch"," pay-day"," ice-punch"," scratch",80,82,78,95,80,85
56,"mankey",61,5,280,"fighting",NA,"vital-spirit"," anger-point"," defiant","karate-chop"," mega-punch"," pay-day"," fire-punch",40,80,35,35,45,70
57,"primeape",159,10,320,"fighting",NA,"vital-spirit"," anger-point"," defiant","karate-chop"," mega-punch"," pay-day"," fire-punch",65,105,60,60,70,95
58,"growlithe",70,7,190,"fire",NA,"intimidate"," flash-fire"," justified","double-kick"," headbutt"," body-slam"," take-down",55,70,45,70,50,60
59,"arcanine",194,19,1550,"fire",NA,"intimidate"," flash-fire"," justified","headbutt"," body-slam"," take-down"," double-edge",90,110,80,100,80,95
60,"poliwag",60,6,124,"water",NA,"water-absorb"," damp"," swift-swim","pound"," double-slap"," headbutt"," body-slam",40,50,40,40,40,90
61,"poliwhirl",135,10,200,"water",NA,"water-absorb"," damp"," swift-swim","pound"," double-slap"," mega-punch"," ice-punch",65,65,65,50,50,90
62,"poliwrath",230,13,540,"water","fighting","water-absorb"," damp"," swift-swim","pound"," double-slap"," mega-punch"," ice-punch",90,95,95,70,90,70
63,"abra",62,9,195,"psychic",NA,"synchronize"," inner-focus"," magic-guard","mega-punch"," fire-punch"," ice-punch"," thunder-punch",25,20,15,105,55,90
64,"kadabra",140,13,565,"psychic",NA,"synchronize"," inner-focus"," magic-guard","mega-punch"," fire-punch"," ice-punch"," thunder-punch",40,35,30,120,70,105
65,"alakazam",225,15,480,"psychic",NA,"synchronize"," inner-focus"," magic-guard","mega-punch"," fire-punch"," ice-punch"," thunder-punch",55,50,45,135,95,120
66,"machop",61,8,195,"fighting",NA,"guts"," no-guard"," steadfast","karate-chop"," mega-punch"," fire-punch"," ice-punch",70,80,50,35,35,35
67,"machoke",142,15,705,"fighting",NA,"guts"," no-guard"," steadfast","karate-chop"," mega-punch"," fire-punch"," ice-punch",80,100,70,50,60,45
68,"machamp",227,16,1300,"fighting",NA,"guts"," no-guard"," steadfast","karate-chop"," mega-punch"," fire-punch"," ice-punch",90,130,80,65,85,55
69,"bellsprout",60,7,40,"grass","poison","chlorophyll"," gluttony",NA,"swords-dance"," cut"," bind"," slam",50,75,35,70,30,40
70,"weepinbell",137,10,64,"grass","poison","chlorophyll"," gluttony",NA,"swords-dance"," cut"," bind"," slam",65,90,50,85,45,55
71,"victreebel",221,17,155,"grass","poison","chlorophyll"," gluttony",NA,"swords-dance"," cut"," bind"," slam",80,105,65,100,70,70
72,"tentacool",67,9,455,"water","poison","clear-body"," liquid-ooze"," rain-dish","swords-dance"," cut"," bind"," headbutt",40,40,35,50,100,70
73,"tentacruel",180,16,550,"water","poison","clear-body"," liquid-ooze"," rain-dish","swords-dance"," cut"," bind"," headbutt",80,70,65,80,120,100
74,"geodude",60,4,200,"rock","ground","rock-head"," sturdy"," sand-veil","mega-punch"," fire-punch"," thunder-punch"," sand-attack",40,80,100,30,30,20
75,"graveler",137,10,1050,"rock","ground","rock-head"," sturdy"," sand-veil","mega-punch"," fire-punch"," thunder-punch"," sand-attack",55,95,115,45,45,35
76,"golem",223,14,3000,"rock","ground","rock-head"," sturdy"," sand-veil","mega-punch"," fire-punch"," thunder-punch"," mega-kick",80,120,130,55,65,45
77,"ponyta",82,10,300,"fire",NA,"run-away"," flash-fire"," flame-body","stomp"," double-kick"," headbutt"," horn-drill",50,85,55,65,65,90
78,"rapidash",175,17,950,"fire",NA,"run-away"," flash-fire"," flame-body","pay-day"," swords-dance"," stomp"," double-kick",65,100,70,80,80,105
79,"slowpoke",63,12,360,"water","psychic","oblivious"," own-tempo"," regenerator","pay-day"," stomp"," headbutt"," tackle",90,65,65,40,40,15
80,"slowbro",172,16,785,"water","psychic","oblivious"," own-tempo"," regenerator","mega-punch"," pay-day"," ice-punch"," stomp",95,75,110,100,80,30
81,"magnemite",65,3,60,"electric","steel","magnet-pull"," sturdy"," analytic","headbutt"," tackle"," take-down"," double-edge",25,35,70,95,55,45
82,"magneton",163,10,600,"electric","steel","magnet-pull"," sturdy"," analytic","headbutt"," tackle"," take-down"," double-edge",50,60,95,120,70,70
83,"farfetchd",132,8,150,"normal","flying","keen-eye"," inner-focus"," defiant","razor-wind"," swords-dance"," cut"," gust",52,90,55,58,62,60
84,"doduo",62,14,392,"normal","flying","run-away"," early-bird"," tangled-feet","swords-dance"," wing-attack"," whirlwind"," fly",35,85,45,35,35,75
85,"dodrio",165,18,852,"normal","flying","run-away"," early-bird"," tangled-feet","swords-dance"," wing-attack"," whirlwind"," fly",60,110,70,60,60,110
86,"seel",65,11,900,"water",NA,"thick-fat"," hydration"," ice-body","pay-day"," slam"," headbutt"," horn-drill",65,45,55,45,70,45
87,"dewgong",166,17,1200,"water","ice","thick-fat"," hydration"," ice-body","pay-day"," headbutt"," horn-drill"," body-slam",90,70,80,70,95,70
88,"grimer",65,9,300,"poison",NA,"stench"," sticky-hold"," poison-touch","pound"," fire-punch"," ice-punch"," thunder-punch",80,80,50,40,50,25
89,"muk",175,12,300,"poison",NA,"stench"," sticky-hold"," poison-touch","pound"," fire-punch"," ice-punch"," thunder-punch",105,105,75,65,100,50
90,"shellder",61,3,40,"water",NA,"shell-armor"," skill-link"," overcoat","headbutt"," tackle"," take-down"," double-edge",30,65,100,45,25,40
91,"cloyster",184,15,1325,"water","ice","shell-armor"," skill-link"," overcoat","headbutt"," tackle"," body-slam"," take-down",50,95,180,85,45,70
92,"gastly",62,13,1,"ghost","poison","levitate",NA,NA,"fire-punch"," ice-punch"," thunder-punch"," headbutt",30,35,30,100,35,80
93,"haunter",142,16,1,"ghost","poison","levitate",NA,NA,"fire-punch"," ice-punch"," thunder-punch"," headbutt",45,50,45,115,55,95
94,"gengar",225,15,405,"ghost","poison","cursed-body",NA,NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",60,65,60,130,75,110
95,"onix",77,88,2100,"rock","ground","rock-head"," sturdy"," weak-armor","bind"," slam"," headbutt"," tackle",35,45,160,30,45,70
96,"drowzee",66,10,324,"psychic",NA,"insomnia"," forewarn"," inner-focus","pound"," mega-punch"," fire-punch"," ice-punch",60,48,45,43,90,42
97,"hypno",169,16,756,"psychic",NA,"insomnia"," forewarn"," inner-focus","pound"," mega-punch"," fire-punch"," ice-punch",85,73,70,73,115,67
98,"krabby",65,4,65,"water",NA,"hyper-cutter"," shell-armor"," sheer-force","vice-grip"," guillotine"," swords-dance"," cut",30,105,90,25,25,50
99,"kingler",166,13,600,"water",NA,"hyper-cutter"," shell-armor"," sheer-force","vice-grip"," guillotine"," swords-dance"," cut",55,130,115,50,50,75
100,"voltorb",66,5,104,"electric",NA,"soundproof"," static"," aftermath","headbutt"," tackle"," take-down"," double-edge",40,30,50,55,55,100
101,"electrode",172,12,666,"electric",NA,"soundproof"," static"," aftermath","headbutt"," tackle"," take-down"," double-edge",60,50,70,80,80,150
102,"exeggcute",65,4,25,"grass","psychic","chlorophyll"," harvest",NA,"swords-dance"," headbutt"," take-down"," double-edge",60,40,80,60,45,40
103,"exeggutor",186,20,1200,"grass","psychic","chlorophyll"," harvest",NA,"swords-dance"," stomp"," headbutt"," body-slam",95,95,85,125,75,55
104,"cubone",64,4,65,"ground",NA,"rock-head"," lightning-rod"," battle-armor","mega-punch"," fire-punch"," thunder-punch"," swords-dance",50,50,95,40,50,35
105,"marowak",149,10,450,"ground",NA,"rock-head"," lightning-rod"," battle-armor","mega-punch"," fire-punch"," thunder-punch"," swords-dance",60,80,110,50,80,45
106,"hitmonlee",159,15,498,"fighting",NA,"limber"," reckless"," unburden","mega-punch"," swords-dance"," double-kick"," mega-kick",50,120,53,35,110,87
107,"hitmonchan",159,14,502,"fighting",NA,"keen-eye"," iron-fist"," inner-focus","comet-punch"," mega-punch"," fire-punch"," ice-punch",50,105,79,35,110,76
108,"lickitung",77,12,655,"normal",NA,"own-tempo"," oblivious"," cloud-nine","mega-punch"," fire-punch"," ice-punch"," thunder-punch",90,55,75,60,75,30
109,"koffing",68,6,10,"poison",NA,"levitate"," neutralizing-gas"," stench","headbutt"," tackle"," body-slam"," take-down",40,65,95,60,45,35
110,"weezing",172,12,95,"poison",NA,"levitate"," neutralizing-gas"," stench","headbutt"," tackle"," body-slam"," take-down",65,90,120,85,70,60
111,"rhyhorn",69,10,1150,"ground","rock","lightning-rod"," rock-head"," reckless","swords-dance"," stomp"," sand-attack"," headbutt",80,85,95,30,30,25
112,"rhydon",170,19,1200,"ground","rock","lightning-rod"," rock-head"," reckless","mega-punch"," pay-day"," fire-punch"," ice-punch",105,130,120,45,45,40
113,"chansey",395,11,346,"normal",NA,"natural-cure"," serene-grace"," healer","pound"," double-slap"," mega-punch"," fire-punch",250,5,5,35,105,50
114,"tangela",87,10,350,"grass",NA,"chlorophyll"," leaf-guard"," regenerator","swords-dance"," cut"," bind"," slam",65,55,115,100,40,60
115,"kangaskhan",172,22,800,"normal",NA,"early-bird"," scrappy"," inner-focus","pound"," comet-punch"," mega-punch"," fire-punch",105,95,80,40,80,90
116,"horsea",59,4,80,"water",NA,"swift-swim"," sniper"," damp","razor-wind"," headbutt"," take-down"," double-edge",30,40,70,70,25,60
117,"seadra",154,12,250,"water",NA,"poison-point"," sniper"," damp","headbutt"," take-down"," double-edge"," leer",55,65,95,95,45,85
118,"goldeen",64,6,150,"water",NA,"swift-swim"," water-veil"," lightning-rod","swords-dance"," headbutt"," horn-attack"," fury-attack",45,67,60,35,50,63
119,"seaking",158,13,390,"water",NA,"swift-swim"," water-veil"," lightning-rod","swords-dance"," headbutt"," horn-attack"," fury-attack",80,92,65,65,80,68
120,"staryu",68,8,345,"water",NA,"illuminate"," natural-cure"," analytic","headbutt"," tackle"," take-down"," double-edge",30,45,55,70,55,85
121,"starmie",182,11,800,"water","psychic","illuminate"," natural-cure"," analytic","headbutt"," tackle"," take-down"," double-edge",60,75,85,100,85,115
122,"mr-mime",161,13,545,"psychic","fairy","soundproof"," filter"," technician","pound"," double-slap"," mega-punch"," fire-punch",40,45,65,100,120,90
123,"scyther",100,15,560,"bug","flying","swarm"," technician"," steadfast","razor-wind"," swords-dance"," cut"," wing-attack",70,110,80,55,80,105
124,"jynx",159,14,406,"ice","psychic","oblivious"," forewarn"," dry-skin","pound"," double-slap"," mega-punch"," ice-punch",65,50,35,115,95,95
125,"electabuzz",172,11,300,"electric",NA,"static"," vital-spirit",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",65,83,57,95,85,105
126,"magmar",173,13,445,"fire",NA,"flame-body"," vital-spirit",NA,"mega-punch"," fire-punch"," thunder-punch"," mega-kick",65,95,57,100,85,93
127,"pinsir",175,15,550,"bug",NA,"hyper-cutter"," mold-breaker"," moxie","vice-grip"," guillotine"," swords-dance"," cut",65,125,100,55,70,85
128,"tauros",172,14,884,"normal",NA,"intimidate"," anger-point"," sheer-force","stomp"," headbutt"," horn-attack"," horn-drill",75,100,95,40,70,110
129,"magikarp",40,9,100,"water",NA,"swift-swim"," rattled",NA,"tackle"," hydro-pump"," splash"," flail",20,10,55,15,20,80
130,"gyarados",189,65,2350,"water","flying","intimidate"," moxie",NA,"bind"," headbutt"," tackle"," body-slam",95,125,79,60,100,81
